Round,City,Country,Circuit_Name,Date,Time,Weather,Track_Length,Laps,Added_Laps,Turns,Finish_Position,Driver,Driver_Age,Driver_Number,Nationality,Team,Powertrain,Starting_Position,Best_Lap_Time,Race_Time,Gap,Points
1,Mexico City,Mexico,Circuit Hermanos Rodriguez,1/14/2023,14:03 - 15:30,20.5˚C,2.630KM,36,5,19,1,Jake Dennis,28,#27,British,Avalanche Andretti Formula E,Porsche 99X Electric Gen3,2,1:14:195,58:25:974,0,26
1,Mexico City,Mexico,Circuit Hermanos Rodriguez,1/14/2023,14:03 - 15:30,20.5˚C,2.630KM,36,5,19,2,Pascal Wehrlein,28,#94,German,Tag Heuer Porsche Formula E Team,Porsche 99X Electric Gen3,6,1:14:345,58:33:790,+ 0:07:816,18
1,Mexico City,Mexico,Circuit Hermanos Rodriguez,1/14/2023,14:03 - 15:30,20.5˚C,2.630KM,36,5,19,3,Lucas Di Grassi,38,#11,Brazilian,Mahindra Racing,Mahindra M9Electro,1,1:14:315,58:44:585,+ 0:18:611,18
1,Mexico City,Mexico,Circuit Hermanos Rodriguez,1/14/2023,14:03 - 15:30,20.5˚C,2.630KM,36,5,19,4,Andre Lotterer,41,#36,German,Avalanche Andretti Formula E,Porsche 99X Electric Gen3,4,1:14:538,58:45:135,+ 0:19:161,12
1,Mexico City,Mexico,Circuit Hermanos Rodriguez,1/14/2023,14:03 - 15:30,20.5˚C,2.630KM,36,5,19,5,Jake Hughes,29,#5,British,NEOM McLaren Formula E Team,Nissan e-4ORCE 04,3,1:14:759,58:46:263,+ 0:20:289,10
1,Mexico City,Mexico,Circuit Hermanos Rodriguez,1/14/2023,14:03 - 15:30,20.5˚C,2.630KM,36,5,19,6,Sebastian Buemi,34,#16,Swiss,Envision Racing,Jaguar I-Type 6,7,1:14:691,58:46:688,+ 0:20:714,8
1,Mexico City,Mexico,Circuit Hermanos Rodriguez,1/14/2023,14:03 - 15:30,20.5˚C,2.630KM,36,5,19,7,Antonio Felix Da Costa,31,#13,Spanish,Tag Heuer Porsche Formula E Team,Porsche 99X Electric Gen3,9,1:14:508,58:47:025,+ 0:21:051,6
1,Mexico City,Mexico,Circuit Hermanos Rodriguez,1/14/2023,14:03 - 15:30,20.5˚C,2.630KM,36,5,19,8,Mitch Evans,29,#9,New Zealander,Jaguar TCS Racing,Jaguar I-Type 6,10,1:15:061,58:50:732,+ 0:24:758,4
1,Mexico City,Mexico,Circuit Hermanos Rodriguez,1/14/2023,14:03 - 15:30,20.5˚C,2.630KM,36,5,19,9,Nick Cassidy,28,#37,New Zealander,Envision Racing,Jaguar I-Type 6,12,1:14:724,58:55:124,+ 0:29:150,2
1,Mexico City,Mexico,Circuit Hermanos Rodriguez,1/14/2023,14:03 - 15:30,20.5˚C,2.630KM,36,5,19,10,Stoffel Vandoorne,31,#1,Belgian,DS Penske,DS E-TENSE FE23,14,1:14:812,58:55:636,+ 0:29:662,1
1,Mexico City,Mexico,Circuit Hermanos Rodriguez,1/14/2023,14:03 - 15:30,20.5˚C,2.630KM,36,5,19,11,Maximilian Gunther,25,#7,German,Maserati MSG Racing,Maserati Tipo Folgore,17,1:14:754,58:56:250,+ 0:30:276,0
1,Mexico City,Mexico,Circuit Hermanos Rodriguez,1/14/2023,14:03 - 15:30,20.5˚C,2.630KM,36,5,19,12,Jean-Eric Vergne,33,#25,French,DS Penske,DS E-TENSE FE23,11,1:15:026,58:57:115,+ 0:31:141,0
1,Mexico City,Mexico,Circuit Hermanos Rodriguez,1/14/2023,14:03 - 15:30,20.5˚C,2.630KM,36,5,19,13,Oliver Rowland,30,#8,British,Mahindra Racing,Mahindra M9Electro,22,1:14:973,58:57:511,+ 0:31:537,0
1,Mexico City,Mexico,Circuit Hermanos Rodriguez,1/14/2023,14:03 - 15:30,20.5˚C,2.630KM,36,5,19,14,Nico Mueller,31,#51,Swiss,ABT Cupra Formula E Team,Mahindra M9Electro,18,1:15:183,58:57:925,+ 0:31:951,0
1,Mexico City,Mexico,Circuit Hermanos Rodriguez,1/14/2023,14:03 - 15:30,20.5˚C,2.630KM,36,5,19,15,Sacha Fenestraz,23,#23,French,Nissan Formula E Team,Nissan e-4ORCE 04,8,1:15:119,58:58:329,+ 0:32:355,0
1,Mexico City,Mexico,Circuit Hermanos Rodriguez,1/14/2023,14:03 - 15:30,20.5˚C,2.630KM,36,5,19,16,Sergio Sette Camara,25,#3,Brazilian,NIO 333 Racing,NIO 333 ER9,13,1:14:957,59:01:179,+ 0:35:205,0
1,Mexico City,Mexico,Circuit Hermanos Rodriguez,1/14/2023,14:03 - 15:30,20.5˚C,2.630KM,36,5,19,17,Dan Ticktum,24,#33,British,NIO 333 Racing,NIO 333 ER9,5,1:14:391,59:40:346,+ 1:14:372,0
1,Mexico City,Mexico,Circuit Hermanos Rodriguez,1/14/2023,14:03 - 15:30,20.5˚C,2.630KM,36,5,19,18,Rene Rast,36,#58,German,NEOM McLaren Formula E Team,Nissan e-4ORCE 04,15,1:14:972,DNF,+,0
1,Mexico City,Mexico,Circuit Hermanos Rodriguez,1/14/2023,14:03 - 15:30,20.5˚C,2.630KM,36,5,19,19,Edoardo Mortara,36,#48,Swiss,Maserati MSG Racing,Maserati Tipo Folgore,16,1:14:648,DNF,+,0
